stemID           LocationX        LocationY        Length           Radians         
15132            -109.96          228.41           13.90            2.09            
15133            -109.96          228.41           22.06            1.57            
15134            -109.96          228.41           13.90            1.05            
15135            -146.48          224.75           17.51            3.67            
15136            -146.48          224.75           27.79            3.14            
15137            -146.48          224.75           17.51            2.62            
15138            -154.05          245.17           25.73            3.14            
15139            -154.05          245.17           40.83            2.62            
15140            -154.05          245.17           25.73            2.09            
15141            -132.59          248.82           17.51            2.62            
15142            -132.59          248.82           27.79            2.09            
15143            -132.59          248.82           17.51            1.57            
15144            -143.85          271.35           23.82            3.14            
15145            -143.85          271.35           37.80            2.62            
15146            -143.85          271.35           23.82            2.09            
15147            -138.88          300.55           35.00            2.62            
15148            -138.88          300.55           55.54            2.09            
15149            -138.88          300.55           35.00            1.57            
15150            -111.11          290.25           23.82            2.09            
15151            -111.11          290.25           37.80            1.57            
15152            -111.11          290.25           23.82            1.05            
15153            -97.23           269.23           17.51            2.62            
15154            -97.23           269.23           27.79            2.09            
15155            -97.23           269.23           17.51            1.57            
15156            -83.33           286.00           25.73            2.09            
15157            -83.33           286.00           40.83            1.57            
15158            -83.33           286.00           25.73            1.05            
15159            -69.44           269.23           17.51            1.57            
15160            -69.44           269.23           27.79            1.05            
15161            -69.44           269.23           17.51            0.52            
15162            -90.87           239.43           13.90            3.14            
15163            -90.87           239.43           22.06            2.62            
15164            -90.87           239.43           13.90            2.09            
15165            -87.97           256.47           20.43            2.62            
15166            -87.97           256.47           32.41            2.09            
15167            -87.97           256.47           20.43            1.57            
15168            -71.76           250.46           13.90            2.09            
15169            -71.76           250.46           22.06            1.57            
15170            -71.76           250.46           13.90            1.05            
15171            -70.56           270.42           18.91            2.62            
15172            -70.56           270.42           30.01            2.09            
15173            -70.56           270.42           18.91            1.57            
15174            -55.56           288.52           27.79            2.09            
15175            -55.56           288.52           44.09            1.57            
15176            -55.56           288.52           27.79            1.05            
15177            -40.55           270.42           18.91            1.57            
15178            -40.55           270.42           30.01            1.05            
15179            -40.55           270.42           18.91            0.52            
15180            -39.35           250.46           13.90            2.09            
15181            -39.35           250.46           22.06            1.57            
15182            -39.35           250.46           13.90            1.05            
15183            -23.14           256.47           20.43            1.57            
15184            -23.14           256.47           32.41            1.05            
15185            -23.14           256.47           20.43            0.52            
15186            -20.24           239.43           13.90            1.05            
15187            -20.24           239.43           22.06            0.52            
15188            -20.24           239.43           13.90            0.00            
15189            -89.67           202.38           11.92            3.67            
15190            -89.67           202.38           18.91            3.14            
15191            -89.67           202.38           11.92            2.62            
